customer_id,age,tenure_months,monthly_spend,channel
1,56.0,16.0,25.187175221695185,In-Store
2,69.0,39.0,65.36044887699603,Online
3,46.0,5.0,29.866536859775806,In-Store
4,32.0,22.0,30.15232609830702,In-Store
5,60.0,29.0,46.13516267805775,Online
6,25.0,55.0,36.1230203524991,Online
7,38.0,3.0,110.90663608933579,Mobile App
8,56.0,12.0,44.47000959734405,Online
9,36.0,26.0,32.99182063784161,Online
10,40.0,16.0,50.27368618188602,Online
11,28.0,51.0,52.61114171985523,Online
12,28.0,37.0,45.92783951346822,Mobile App
13,41.0,22.0,34.961793346975305,Mobile App
14,53.0,57.0,44.58827146438979,Mobile App
15,57.0,29.0,21.88113261857558,Online
16,41.0,14.0,87.89198933617757,Online
17,20.0,28.0,64.24999666214516,In-Store
18,39.0,5.0,49.61868211984799,Online
19,19.0,47.0,51.04777418005139,Online
20,41.0,49.0,35.562604511866525,Mobile App
21,61.0,30.0,33.18639661724793,Online
22,47.0,46.0,28.09731352657504,In-Store
23,55.0,52.0,41.76058670800234,Online
24,19.0,5.0,20.42591481673199,Online
25,38.0,12.0,100.79239151561765,Online
26,50.0,16.0,70.51525863143465,Mobile App
27,29.0,26.0,49.725215590218184,Mobile App
28,39.0,26.0,30.19462273498105,Mobile App
29,61.0,48.0,33.99250519851161,In-Store
30,42.0,21.0,41.81647168582936,Online
31,66.0,39.0,78.9459357204806,In-Store
32,,36.0,25.391521786899308,In-Store
33,59.0,33.0,65.33524669309041,Mobile App
34,45.0,30.0,35.08554909095249,Online
35,33.0,37.0,40.31504468832507,In-Store
36,32.0,23.0,48.10034290558608,Online
37,64.0,58.0,40.30315792578088,Online
38,68.0,10.0,37.427831497922796,Mobile App
39,61.0,54.0,37.833363758382376,In-Store
40,69.0,5.0,28.970095168616513,Online
41,20.0,36.0,72.30295230439206,Online
42,54.0,34.0,52.682802604947554,In-Store
43,68.0,52.0,76.9723861711557,Mobile App
44,24.0,31.0,35.16547097517822,Mobile App
